series_id,series_name,year,period,period_name,value,latest
CES6562310011,Avg Weekly Earnings,2020,M11,November,721.28,False
CES6562310011,Avg Weekly Earnings,2020,M10,October,716.28,False
CES6562310011,Avg Weekly Earnings,2020,M09,September,712.42,False
CES6562310011,Avg Weekly Earnings,2020,M08,August,710.96,False
CES6562310011,Avg Weekly Earnings,2020,M07,July,705.63,False
CES6562310011,Avg Weekly Earnings,2020,M06,June,703.71,False
CES6562310011,Avg Weekly Earnings,2020,M05,May,708.41,False
CES6562310011,Avg Weekly Earnings,2020,M04,April,696.06,False
CES6562310011,Avg Weekly Earnings,2020,M03,March,671.88,False
CES6562310011,Avg Weekly Earnings,2020,M02,February,665.9,False
CES6562310011,Avg Weekly Earnings,2020,M01,January,662.61,False
